Year_Birth;Education;Marital_Status;Income;Kidhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumStorePurchases;NumWebVisitsMonth;Complain;WebPurchases
1965;PhD;Married;84618;0;96;684;100;801;21;66;0;10;2;0;1
1989;Master;Divorced;10979;0;34;8;4;10;2;2;4;3;5;0;0
1963;Master;Together;38620;0;56;112;17;44;34;22;89;3;3;0;0
1970;Graduation;Together;40548;0;31;110;0;5;2;0;3;4;5;0;0
1952;PhD;Divorced;46610;0;8;96;12;96;33;22;43;6;6;0;1
1946;Master;Married;68657;0;4;482;34;471;119;68;22;9;7;0;0
1951;Master;Single;49389;1;55;40;0;19;2;1;3;3;7;0;0
1970;PhD;Married;67353;0;37;702;17;151;0;8;35;12;2;0;1
1976;2n Cycle;Married;23718;1;76;6;3;14;15;7;36;2;7;0;0
1973;Graduation;Widow;42429;0;99;55;0;6;2;0;4;3;5;0;0
1943;PhD;Divorced;48948;0;53;437;8;206;160;49;42;5;6;0;1
1980;Graduation;Married;80011;0;3;421;76;536;82;178;102;5;4;0;1
1985;Master;Married;20559;1;88;13;1;29;3;0;7;3;8;0;0
1957;Graduation;Together;21994;0;4;9;0;6;3;1;3;3;5;0;0
1959;PhD;Single;;0;80;81;11;50;3;2;39;4;2;0;0
1975;Master;Married;7500;1;19;3;1;10;3;2;12;3;5;0;0
1976;Graduation;Single;79941;0;72;123;164;266;227;30;174;9;1;0;0
1996;2n Cycle;Married;7500;0;24;3;18;14;15;22;50;3;9;0;0
1968;Graduation;Together;41728;1;92;13;6;15;3;5;13;2;10;0;0
1951;Graduation;Single;;2;96;48;5;48;6;10;7;4;6;0;0
1954;PhD;Married;72550;1;39;826;50;317;50;38;38;12;8;0;1
1957;Graduation;Widow;65486;0;29;245;19;125;37;67;14;10;2;0;1
1964;Master;Married;79143;0;2;650;37;780;27;167;32;13;3;0;1
1977;Graduation;Single;35790;1;54;12;6;20;30;1;3;3;7;0;0
1977;Graduation;Divorced;82582;0;54;510;120;550;156;40;241;7;1;0;1
1978;Graduation;Married;66373;1;57;328;9;124;12;24;109;10;3;0;1
1955;Master;Together;82384;0;55;984;51;432;180;120;190;13;1;0;0
1966;Graduation;Divorced;70287;0;30;295;35;482;121;120;40;10;3;0;1
1988;Graduation;Single;27938;1;31;13;0;8;2;1;5;4;3;0;0
1982;Graduation;Single;;1;57;11;3;22;2;2;6;3;6;0;0
1968;PhD;Married;55954;0;63;447;0;28;0;0;43;6;7;0;1
1982;Master;Single;75777;0;12;712;26;538;69;13;80;11;1;0;0
1975;Graduation;Together;66653;1;18;452;18;102;16;18;6;12;3;0;1
1952;Graduation;Single;61823;0;26;523;7;134;37;14;169;10;7;0;1
1951;PhD;Widow;67680;0;8;546;0;48;0;6;6;8;5;0;1
1948;Graduation;Together;70666;0;29;398;40;367;119;122;30;4;4;0;1
1971;Graduation;Married;25721;1;75;1;3;6;3;6;15;2;7;0;0
1967;Graduation;Together;32474;1;0;10;0;1;0;0;0;2;7;0;0
1979;2n Cycle;Single;88194;0;19;688;14;309;201;24;38;10;5;0;1
1958;Graduation;Together;69096;0;4;247;49;159;7;82;109;10;4;0;1
1970;Graduation;Together;74854;1;90;856;59;487;58;29;73;5;5;0;0
1954;Master;Married;66991;0;1;496;36;460;189;60;12;6;3;0;1
1973;2n Cycle;Married;;1;25;25;3;43;17;4;17;3;8;0;0
1959;Graduation;Married;65031;0;29;258;107;291;84;37;86;13;7;0;1
1975;PhD;Married;60631;1;88;565;6;65;0;6;19;8;7;0;1
1952;Graduation;Married;28332;0;58;14;10;13;4;15;9;4;2;0;0
1977;Graduation;Divorced;40246;1;68;2;1;6;2;1;1;2;6;0;0
1972;Master;Married;75251;0;34;721;111;925;97;18;18;5;5;0;1
1976;Graduation;Single;75825;0;40;1032;105;779;137;105;51;9;4;0;1
1976;2n Cycle;Together;26326;0;12;1;0;5;0;3;9;3;3;1;0
1965;Graduation;Together;56046;0;9;577;0;64;0;0;51;8;8;0;1
1985;Graduation;Single;29760;1;87;64;4;68;7;5;17;4;8;0;0
1969;Graduation;Married;26304;1;5;4;1;5;2;0;4;2;7;0;0
1973;2n Cycle;Married;23559;1;87;25;5;19;7;0;23;3;7;0;0
1963;Master;Together;38620;0;56;112;17;44;34;22;89;3;3;0;0
1987;Graduation;Divorced;81361;0;18;163;23;424;27;65;76;13;1;0;0
1960;Graduation;Married;29440;1;95;17;8;14;10;4;3;4;7;0;0
1970;Master;Married;36138;1;48;130;0;16;0;0;5;4;7;0;0
1957;Graduation;Single;50388;0;3;292;6;37;0;3;34;6;7;0;1
1973;Graduation;Married;79593;0;70;350;60;568;110;133;145;7;2;0;1
1967;Graduation;Together;54178;0;79;135;9;39;4;0;7;5;2;0;0
1957;PhD;Married;;2;4;230;42;192;49;37;53;8;9;0;1
1957;Graduation;Single;;1;45;7;0;8;2;0;1;2;7;0;0
1973;Master;Together;;0;87;445;37;359;98;28;18;8;1;0;0
1972;Master;Single;42394;1;69;15;2;10;0;1;4;3;7;0;0
1970;PhD;Married;23626;1;84;27;2;14;0;0;0;3;5;0;0
1983;Graduation;Married;30096;1;30;5;3;11;12;5;9;3;6;0;0
1960;Graduation;Widow;47916;0;72;505;0;26;0;0;75;6;6;0;1
1972;Graduation;Divorced;51813;1;37;51;2;7;0;1;2;3;7;0;0
1951;2n Cycle;Married;78497;0;44;207;26;447;75;0;223;12;2;0;1
1983;PhD;Married;50150;0;32;135;46;92;65;61;11;7;5;0;1
1960;2n Cycle;Single;47823;0;0;53;1;5;2;1;10;3;8;0;0
1959;PhD;Single;34554;0;43;41;1;6;2;0;5;3;6;0;0
1979;Graduation;Together;85693;0;59;386;172;183;185;132;111;11;5;0;1
1945;PhD;Married;65846;0;68;562;81;276;80;40;81;6;4;0;1
1959;Graduation;Married;87195;0;35;217;76;690;50;26;38;5;1;0;0
1979;Basic;Together;24594;1;94;1;3;6;10;0;9;3;5;0;0
1964;Graduation;Married;49096;1;15;144;1;32;2;1;7;4;7;0;1
1969;Graduation;Married;52413;0;56;295;106;271;75;98;65;12;6;0;1
1978;Graduation;Single;38557;1;17;76;3;31;4;4;27;3;7;0;0
1960;Master;Married;89058;0;18;454;194;106;31;22;43;4;2;0;1
1979;Graduation;Together;77298;0;46;425;115;292;23;35;79;11;3;0;1
1991;PhD;Single;68126;0;40;1332;17;311;23;51;86;5;9;0;1
1963;Master;Together;57288;0;27;527;0;21;0;0;60;8;6;0;1
1991;Graduation;Single;86037;0;95;490;44;125;29;20;22;11;3;0;1
1980;PhD;Married;43974;1;19;378;0;101;0;0;72;6;7;0;1
1962;Graduation;Single;50785;1;27;64;1;21;0;1;27;3;6;0;0
1970;Graduation;Married;90765;0;25;547;99;812;151;82;33;5;1;0;1
1978;2n Cycle;Married;36550;1;74;47;90;94;123;103;120;5;9;0;1
1967;2n Cycle;Together;30753;1;85;12;5;25;0;9;30;3;5;0;0
1969;Graduation;Together;21918;1;37;1;6;7;11;5;3;3;6;0;0
1953;Master;Together;56129;0;65;320;48;133;39;72;48;10;4;0;1
1967;Master;Single;32557;1;13;34;3;29;0;4;10;3;5;0;0
1985;Master;Married;19510;2;63;9;0;7;3;4;7;3;7;0;0
1976;Graduation;Divorced;30992;1;83;17;0;14;7;3;2;3;7;0;0
1983;Graduation;Single;101970;0;69;722;27;102;44;72;168;13;2;0;1
1965;2n Cycle;Together;71488;0;87;162;33;124;40;28;172;7;1;0;0
1984;Graduation;Single;79607;0;37;450;133;951;173;0;216;6;1;0;0
1953;Master;Married;54348;1;51;70;0;16;0;0;4;4;6;0;0
1961;PhD;Married;;0;23;352;0;27;10;0;15;7;6;0;1
1956;PhD;Together;77376;1;72;492;19;110;16;12;12;10;4;0;1
1952;Graduation;Married;62998;0;10;120;58;73;65;89;58;5;5;0;1
1958;Master;Alone;61331;1;42;534;5;47;0;5;41;6;8;0;1
1969;Graduation;Married;73448;0;10;236;106;189;23;41;130;9;4;0;1
1963;Graduation;Married;;0;96;231;65;196;38;71;124;7;4;0;1
1964;PhD;Married;41551;1;51;220;0;33;3;0;23;5;8;0;1
1967;PhD;Together;62981;0;21;796;14;590;38;44;0;13;3;0;1
1976;Basic;Divorced;9548;1;31;0;1;3;10;6;9;3;8;0;0
1959;PhD;Married;33762;2;61;53;1;34;2;0;16;2;8;0;0
1973;PhD;Alone;35860;1;37;15;0;8;4;2;20;2;5;0;0
1965;PhD;Divorced;36921;1;74;17;1;12;3;1;4;3;7;0;0
1992;Master;Single;92859;0;46;962;61;921;52;61;20;12;2;0;1
1976;Master;Together;65104;0;4;738;0;232;13;20;50;7;7;0;0
1962;Graduation;Married;86111;0;73;399;28;756;36;40;126;10;2;0;1
1974;PhD;Single;68352;0;47;614;16;132;43;33;33;9;6;0;1
1988;Graduation;Together;41883;1;13;32;34;41;73;16;116;3;7;0;1
1976;Graduation;Married;59809;0;36;598;16;141;32;41;49;6;8;0;0
1975;Graduation;Married;23957;1;47;2;1;18;20;11;16;3;6;0;0
1981;Graduation;Together;38547;1;49;6;1;10;0;1;4;2;8;1;0
1973;2n Cycle;Married;35688;2;94;73;3;90;12;1;32;4;8;0;1
1966;Master;Married;49605;0;65;42;16;29;12;20;8;4;3;0;0
1953;Master;Married;59354;0;59;295;21;78;39;13;13;7;3;0;1
1969;Graduation;Married;65747;0;96;346;17;48;23;13;13;6;6;0;1
1972;2n Cycle;Together;46344;0;28;233;20;57;8;20;91;5;7;0;1
1988;Graduation;Alone;34176;1;12;5;7;24;19;14;20;4;6;0;0
1952;PhD;Together;61010;0;57;888;0;57;0;0;76;11;5;0;1
1949;Graduation;Together;69372;0;10;997;26;269;34;13;42;6;4;0;1
1958;Graduation;Single;49967;0;4;212;6;69;4;12;3;5;7;0;1
1978;Graduation;Single;60199;1;49;8;1;7;2;0;0;3;4;0;0
1977;Graduation;Together;55375;0;3;42;11;57;10;28;14;6;2;0;0
1955;Graduation;Single;80317;0;64;536;11;387;149;91;57;10;1;0;0
1958;Master;Single;30523;2;0;5;0;3;0;0;5;2;7;0;0
1945;PhD;Married;70356;0;20;1349;16;249;43;16;33;9;6;0;1
1984;Graduation;Married;23228;1;91;53;3;49;7;4;5;4;8;0;0
1975;PhD;Divorced;74165;0;9;1001;12;240;16;12;12;10;2;0;1
1973;PhD;Married;157243;0;98;20;2;1582;1;2;1;0;0;0;0
1966;Graduation;Together;43482;2;83;18;1;32;6;3;28;4;6;0;0
1953;Graduation;Divorced;62551;0;27;125;16;98;134;21;27;4;3;0;1
1959;Graduation;Divorced;52332;0;63;212;5;33;7;0;2;6;4;0;0
1988;Graduation;Single;66951;0;46;277;162;305;173;76;124;7;1;0;0
1957;Graduation;Together;26091;1;84;15;10;19;8;17;20;3;5;0;0
1965;Graduation;Together;33456;1;58;7;3;10;8;1;7;3;7;0;0
1982;Graduation;Married;28718;1;78;12;4;6;11;8;16;3;8;0;0
1970;Graduation;Married;50447;2;4;85;7;24;2;3;27;3;6;0;0
1959;PhD;Together;53537;1;17;81;0;6;0;0;6;3;5;0;0
1967;Graduation;Single;52074;0;77;59;0;12;0;0;48;2;4;0;0
1975;PhD;Married;80427;0;56;1149;71;449;69;71;26;8;5;0;1
1948;PhD;Married;83837;0;79;847;66;119;86;89;111;5;4;0;1
1970;PhD;Married;38853;1;90;29;0;14;0;0;2;3;7;0;0
1959;Graduation;Together;38285;2;96;2;0;5;2;0;1;3;2;0;0
1951;2n Cycle;Married;78497;0;44;207;26;447;75;0;223;12;2;0;1
1976;PhD;Married;51650;0;81;152;3;22;2;5;7;4;5;0;1
1988;2n Cycle;Married;16248;1;77;12;11;10;3;12;9;3;6;0;0
1946;Master;Married;66835;0;21;620;26;195;34;17;141;13;2;0;1
1984;Master;Married;30477;1;16;47;1;6;0;0;12;3;6;0;0
1961;Basic;Married;28249;0;80;1;9;7;2;14;10;3;6;0;0
1983;Graduation;Married;25271;1;45;10;1;18;10;4;7;2;9;0;0
1970;PhD;Single;32303;0;63;35;0;2;0;0;2;4;5;0;0
1966;Graduation;Married;61286;0;34;356;0;107;19;9;117;8;5;0;1
1976;Graduation;Married;74068;0;14;783;30;537;140;76;15;9;2;0;1
1964;PhD;Married;45759;1;13;42;1;18;3;0;4;3;7;0;0
1978;Basic;Together;24882;1;52;1;4;10;29;0;36;2;6;0;0
1989;PhD;Together;66973;0;98;466;22;432;147;113;102;12;3;0;1
1900;2n Cycle;Divorced;36640;1;99;15;6;8;7;4;25;2;5;1;0
1988;Graduation;Married;38872;1;93;23;3;21;3;19;22;3;8;0;0
1973;Graduation;Married;51148;1;38;235;6;45;8;9;12;6;6;0;1
1977;Graduation;Married;31353;1;24;10;0;10;3;1;7;2;8;0;0
1980;Master;Married;69661;0;80;656;16;106;32;16;8;12;3;0;1
1954;Graduation;Married;80067;0;82;519;17;813;27;173;51;6;2;0;1
1954;Graduation;Married;86718;0;20;344;189;482;50;33;172;5;2;0;1
1973;PhD;Single;46854;1;81;96;1;79;7;1;79;3;8;0;1
1952;Graduation;Divorced;69142;0;50;448;4;34;6;4;39;7;5;0;1
1968;Graduation;Single;75922;0;60;265;138;553;224;23;92;9;1;0;1
1978;Graduation;Divorced;63693;0;63;587;43;337;42;87;54;9;6;0;1
1977;PhD;Together;102160;0;54;763;29;138;76;176;58;10;4;0;1
1965;PhD;Single;40637;1;72;22;0;13;0;0;3;3;7;0;0
1984;Master;Single;18890;0;5;6;4;1;7;2;15;2;6;0;0
1988;Graduation;Together;29604;1;88;7;6;13;7;6;14;3;9;0;0
1963;Master;Divorced;48721;1;50;81;18;113;47;13;21;5;6;0;1
1966;Graduation;Married;44794;0;99;54;0;7;0;0;4;3;6;0;0
1954;Graduation;Divorced;64497;0;17;1170;48;320;42;32;192;9;8;0;1
1956;Graduation;Together;46097;0;11;72;24;68;65;4;8;6;4;0;0
1954;Graduation;Together;77972;0;18;613;22;319;33;102;12;9;1;0;1
1968;PhD;Married;44377;1;70;224;0;30;0;0;10;5;8;0;1
1974;Master;Together;46014;1;21;410;0;59;19;9;44;8;7;0;1
1985;Graduation;Married;70951;0;66;239;10;554;254;87;54;9;1;0;0
1977;Graduation;Married;41443;1;79;171;7;171;25;19;89;5;8;0;1
1978;2n Cycle;Single;52195;2;2;12;0;4;0;0;1;2;8;0;0
1948;Master;Married;83790;0;81;1076;16;417;42;48;16;6;3;0;1
1954;Master;Widow;44551;0;24;182;4;33;0;0;66;5;7;0;1
1980;Graduation;Together;69508;1;48;824;32;162;42;32;43;11;6;0;1
1988;2n Cycle;Together;45204;1;93;30;11;25;29;1;18;4;3;0;0
1969;Graduation;Married;72460;0;56;377;10;540;80;30;10;7;1;0;0
1970;PhD;Together;77622;0;3;520;7;154;19;0;14;11;3;0;1
1980;PhD;Married;30732;1;44;155;1;25;0;1;3;4;8;0;1
1962;Graduation;Divorced;63887;0;38;897;23;207;15;11;92;12;6;0;1
1978;Graduation;Together;42011;1;46;131;0;16;2;1;39;4;8;0;0
1976;Graduation;Together;51369;0;84;297;7;79;0;11;182;4;8;0;1
1952;Graduation;Divorced;51537;0;27;787;20;204;0;0;92;11;8;0;0
1972;PhD;Married;79930;0;72;792;86;740;67;51;17;8;2;0;0
1986;PhD;Together;34320;1;66;4;1;9;3;0;0;2;8;0;0
1966;Graduation;Single;37070;1;30;231;7;137;4;15;39;8;7;0;1
1962;2n Cycle;Divorced;81975;0;2;983;76;184;180;138;27;4;7;0;1
1971;Graduation;Together;38590;1;65;3;1;8;4;3;3;2;8;0;0
1951;Graduation;Single;15033;0;37;0;4;5;6;0;4;3;3;0;0
1965;PhD;Married;62745;0;89;562;21;464;28;10;32;11;5;0;1
1975;2n Cycle;Married;22212;1;49;5;9;20;6;8;21;4;6;0;0
1982;Master;Together;23661;1;46;18;0;4;0;0;1;3;7;0;0
1958;PhD;Single;79761;0;32;415;5;124;15;35;11;11;3;0;1
1973;Graduation;Single;7500;1;54;5;3;10;12;7;20;3;7;0;0
1893;2n Cycle;Single;60182;0;23;8;0;5;7;0;2;2;4;0;0
1968;Graduation;Widow;73455;0;98;901;61;757;186;163;20;10;3;0;1
1958;Graduation;Together;64961;0;97;382;114;276;75;124;38;4;3;0;1
1971;Graduation;Single;22804;1;75;14;1;7;2;1;1;2;9;0;0
1990;Graduation;Married;73687;0;8;559;153;503;218;13;181;9;2;0;0
1958;Graduation;Married;61074;0;37;789;0;133;0;28;152;8;7;0;1
1964;PhD;Married;31686;1;31;11;0;5;0;0;1;3;6;0;0
1972;Graduation;Married;80134;1;40;1218;16;272;104;0;80;6;6;0;1
1953;Graduation;Married;75027;0;74;925;64;179;133;12;77;6;5;0;1
1988;PhD;Married;67546;0;90;864;134;768;150;38;172;5;3;0;1
1969;Master;Together;65176;0;57;960;28;183;220;70;70;6;6;0;1
1975;Master;Single;31160;1;59;16;3;25;6;1;13;3;8;0;0
1985;Graduation;Single;29938;1;52;3;3;7;0;2;11;3;6;0;0
1974;Graduation;Divorced;102692;0;5;168;148;444;32;172;148;13;2;0;1
1958;2n Cycle;Together;26490;0;92;45;47;52;21;20;25;5;6;0;0
1967;Graduation;Together;75702;1;77;650;28;353;45;42;30;11;8;0;1
1974;PhD;Single;30899;1;35;24;0;8;0;0;1;3;6;0;0
1961;PhD;Together;63342;0;48;918;21;118;13;10;21;5;6;0;1
1964;Graduation;Single;45989;0;97;138;33;87;28;24;12;7;3;0;0
1964;Graduation;Single;18701;1;95;12;4;2;10;6;10;4;5;0;0
1957;PhD;Single;40737;2;24;11;0;4;0;0;2;2;8;0;0
1979;Graduation;Divorced;15287;1;60;1;2;8;4;3;13;2;7;0;0
1968;PhD;Divorced;69674;0;46;554;41;215;11;0;24;10;5;0;1
1970;Master;Married;44159;1;85;167;2;62;24;13;7;6;5;0;1
1978;PhD;Married;37717;1;31;9;0;6;4;1;5;2;9;0;0
1952;Master;Together;43776;1;9;177;2;71;3;2;20;4;8;0;1
1966;Master;Married;38179;1;30;38;4;22;4;2;20;3;7;0;0
1963;Graduation;Married;80124;0;47;483;84;398;205;84;241;8;1;0;0
1970;PhD;Married;38097;1;70;77;2;35;0;1;69;2;7;0;0
1970;Graduation;Married;72940;0;13;182;74;298;162;149;116;6;1;0;0
1970;Graduation;Together;22070;1;11;10;7;19;8;2;21;2;6;0;0
1953;Graduation;Single;69267;0;31;778;44;499;95;73;146;5;7;0;0
1983;Master;Single;31788;1;15;16;7;23;0;8;6;4;5;1;0
1975;PhD;Together;61905;0;2;167;0;43;6;2;13;4;5;0;1
1960;Graduation;Married;29315;1;55;13;2;14;8;7;4;4;6;0;0
1963;Graduation;Divorced;33378;1;38;33;6;40;3;7;10;4;7;0;0
1963;PhD;Together;66313;0;86;625;7;99;10;22;7;12;4;0;1
1956;Graduation;Single;60714;0;56;216;162;224;101;92;162;10;5;0;1
1981;Master;Together;77882;0;29;68;129;396;188;22;15;5;1;0;0
1986;PhD;Single;69867;0;30;196;0;512;33;130;54;8;1;0;0
1968;Master;Divorced;63841;0;64;635;15;100;20;7;131;9;6;0;1
1981;Basic;Married;24480;1;46;4;19;9;28;25;17;4;7;0;0
1976;Graduation;Together;51369;0;84;297;7;79;0;11;182;4;8;0;1
1946;Graduation;Together;37760;0;20;84;5;38;150;12;28;6;7;0;1
1974;PhD;Together;65640;0;74;204;7;149;20;15;66;8;2;0;1
1975;Master;Married;44319;1;18;26;0;8;0;0;3;3;5;0;0
1974;Graduation;Married;30631;1;75;15;6;20;4;5;20;2;7;0;0
1952;Graduation;Together;75278;0;17;304;98;230;150;74;74;13;3;0;1
1956;Master;Together;50898;1;88;285;28;242;55;114;135;12;5;0;1
1966;Graduation;Widow;79946;0;19;395;183;565;166;141;28;5;3;0;1
1949;Master;Divorced;35416;0;62;248;3;81;4;3;51;5;8;0;1
1984;2n Cycle;Together;32414;0;11;20;6;5;0;9;12;3;7;0;0
1969;Graduation;Together;38361;1;74;39;0;56;20;8;14;3;7;0;0
1980;Graduation;Married;82497;0;32;777;129;573;216;21;203;9;4;0;0
1971;Graduation;Together;16626;2;76;8;3;22;21;1;13;3;9;0;0
1965;Graduation;Together;29672;1;6;9;1;3;0;4;8;3;6;0;0
1952;Master;Together;55951;0;62;1241;0;80;0;13;40;11;8;0;0
1988;2n Cycle;Divorced;35388;1;20;6;4;7;4;3;8;3;7;0;0
1986;Master;Together;42386;1;43;65;4;16;0;4;11;3;8;0;0
1982;Graduation;Single;68627;0;45;395;15;263;60;54;38;6;1;0;0
1965;PhD;Divorced;57912;0;34;801;0;80;0;0;35;12;5;0;1
1958;Graduation;Divorced;35246;1;53;36;0;12;2;2;10;3;5;0;0
1956;2n Cycle;Together;58821;0;44;513;14;154;19;0;28;9;6;0;1
1978;PhD;Married;46377;1;89;37;0;46;4;3;0;3;4;0;0
1988;Graduation;Single;39747;1;43;80;15;93;20;13;52;4;8;0;1
1984;Graduation;Together;23976;1;68;14;1;21;2;3;25;3;7;0;0
1961;Master;Married;80950;0;44;525;147;112;219;147;63;9;2;0;1
1966;Graduation;Widow;27038;0;64;1;26;25;17;23;15;3;9;0;0
1947;Graduation;Single;77457;0;85;675;11;400;15;45;11;10;1;0;0
1964;Master;Married;64100;0;93;509;0;27;0;0;10;6;7;0;1
1992;Master;Together;42670;0;12;154;2;46;20;4;15;4;4;0;1
1976;Graduation;Divorced;12571;1;86;3;5;14;2;12;17;3;6;0;0
1967;Graduation;Married;22574;2;28;25;0;8;2;0;2;3;7;0;0
1989;Graduation;Married;;0;69;861;138;461;60;30;61;12;3;0;1
1976;Master;Single;70893;0;42;768;44;561;77;44;14;10;3;0;1
1966;Graduation;Married;54198;1;13;185;0;28;3;2;17;6;4;0;0
1956;Master;Together;28839;1;86;24;0;7;0;0;1;3;5;0;0
1972;Graduation;Married;40321;1;59;44;4;21;6;0;27;3;7;0;0
1985;Graduation;Single;66503;1;30;91;64;128;65;3;50;6;3;0;1
1951;Graduation;Married;30833;1;33;11;0;7;3;1;6;3;5;0;0
1970;Graduation;Single;;1;67;738;20;172;52;50;20;10;7;0;0
1971;Graduation;Married;64795;0;23;412;5;119;38;29;77;12;2;0;0
1974;Graduation;Married;34421;1;81;3;3;7;6;2;9;2;7;0;0
1965;PhD;Divorced;47025;1;6;16;0;3;0;0;1;2;7;0;0
1961;PhD;Divorced;64325;0;41;731;60;353;78;12;73;5;7;0;1
1953;Graduation;Single;40464;0;78;424;17;118;7;23;41;8;8;0;1
1957;Graduation;Married;62187;0;49;792;0;275;45;45;126;5;3;0;1
1976;PhD;Divorced;14849;1;39;21;2;28;3;2;9;4;8;0;0
1984;Graduation;Married;27255;1;3;22;1;11;0;1;2;3;7;0;0
1950;PhD;Married;54432;2;37;33;0;5;0;0;0;3;4;0;0
1986;PhD;Single;29999;1;22;68;7;59;10;5;11;4;8;0;0
1983;Graduation;Single;24072;1;79;9;1;6;3;0;4;2;8;0;0
1989;PhD;Single;33996;0;46;40;2;15;8;0;6;3;4;0;0
1956;PhD;Married;66334;0;82;909;11;218;0;0;23;5;5;0;1
1971;Master;Married;35178;1;10;23;1;13;2;2;18;2;7;0;0
1983;Graduation;Together;22010;1;51;11;2;9;3;0;8;3;8;0;0
1960;Graduation;Divorced;62204;0;38;317;46;247;151;46;139;12;3;0;1
1968;Graduation;Divorced;75693;0;10;797;153;293;72;97;30;6;4;0;1
1972;Graduation;Married;30675;1;14;10;2;16;11;2;21;3;8;0;0
1965;Graduation;Together;83003;0;18;856;61;570;40;25;122;8;3;0;1
1899;PhD;Together;83532;0;36;755;144;562;104;64;224;4;1;0;1
1988;Graduation;Single;68655;0;95;456;19;832;75;118;38;11;3;0;1
1986;Graduation;Divorced;41411;0;11;37;32;38;11;3;18;4;6;0;0
1969;PhD;Married;55212;0;65;1103;0;45;0;0;34;11;8;0;1
1950;PhD;Together;59292;0;71;378;14;68;19;14;14;8;3;0;0
1973;Basic;Together;27190;1;13;1;6;7;0;1;3;2;8;0;0
1952;Graduation;Divorced;82623;0;58;204;34;204;172;153;173;4;1;0;0
1965;Graduation;Married;44300;1;65;30;0;9;0;0;3;3;6;0;0
1970;Graduation;Divorced;84835;0;0;189;104;379;111;189;218;6;1;0;1
1971;Graduation;Widow;30372;1;33;15;0;12;7;3;7;3;7;0;0
1976;Master;Married;33181;1;90;9;0;3;0;0;4;2;6;0;0
1957;Graduation;Married;71113;0;95;495;33;255;11;33;8;9;4;0;1
1986;Graduation;Married;71952;1;93;656;80;455;52;107;93;8;4;0;1
1966;PhD;Single;69759;0;38;452;20;514;13;30;0;5;3;0;1
1974;Graduation;Married;72099;0;18;546;91;410;119;0;22;10;1;0;0
1976;PhD;Single;60000;0;57;1048;0;217;0;0;12;5;6;0;1
1978;Graduation;Single;38643;1;45;22;2;14;0;1;10;3;7;1;0
1955;Graduation;Married;50737;0;61;78;0;11;0;0;10;4;6;0;0
1969;PhD;Married;68462;0;6;561;64;785;84;128;48;8;1;0;0
1943;Master;Married;65073;0;65;629;17;177;69;0;8;5;2;1;1
1948;PhD;Together;46681;0;52;269;15;69;15;19;38;4;5;0;1
1957;Graduation;Married;78618;0;87;736;163;818;212;163;61;10;2;0;1
1969;PhD;Widow;62187;0;38;512;0;83;0;0;41;10;4;0;1
1978;Graduation;Married;28442;2;53;19;3;10;11;8;6;4;4;0;0
1978;PhD;Married;37717;1;31;9;0;6;4;1;5;2;9;0;0
